Date,Circuit,City,Country,International,Tournament,Event_Link,Round_Code,Round,Motion,Infoslide,Topic_Area_1,Topic_Area_2,Topic_Area_3,Topic_Area_Specific_1
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,3,3,THB in visa freedom with Russia,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,4,4,THW criminalize the payment of ransom,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,Open_Z,Open_Final,THBT the EU should approve member countries budget deficit sides,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,1,1,THW give parents proxy votes for their children,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,2,2,THW give North Korea unconditional food aid,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,3,3,THW allow surrogate motherhood for profit,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,4,4,THW ban equality movements focusing on one group only,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,Open_Z,Open_Final,THW tie the liabilities of borrowers to the value of their provided collateral,,,,,
12-01-05,Europe,Latvia,Latvia,0,SSE Riga IV,,1,1,THW place tax on fast food,,,,,
12-01-05,Europe,Latvia,Latvia,0,SSE Riga IV,,2,2,THW tie foreign aid to environmental standards,,,,,
12-01-05,Europe,Latvia,Latvia,0,SSE Riga IV,,3,3,THBT torture is justified,,,,,
12-01-05,Europe,Latvia,Latvia,0,SSE Riga IV,,4,4,THBT there are no more heros,,,,,
12-01-05,Europe,Latvia,Latvia,0,SSE Riga IV,,5,5,THW ban extremist political parties,,,,,
12-01-05,Europe,Latvia,Latvia,0,SSE Riga IV,,Open_X,Open_Quarters,THBT sporting boycotts are a legitimate political tool,,,,,
12-01-05,Europe,Latvia,Latvia,0,SSE Riga IV,,Open_Y,Open_Semis,THW declare sex with a trafficked prostitue rape,,,,,
12-01-05,Europe,Latvia,Latvia,0,SSE Riga IV,,Open_Z,Open_Final,THW ban the reporting of hostage taking,,,,,
12-01-06,Europe,Latvia,Latvia,0,SSE Riga IV,,1,1,THW legalise euthanasia,,,,,
12-01-06,Europe,Latvia,Latvia,0,SSE Riga IV,,2,2,THBT multinational companies are friends of the developing world,,,,,
12-01-06,Europe,Latvia,Latvia,0,SSE Riga IV,,3,3,THW impose environmental tax on airlines,,,,,
12-01-06,Europe,Latvia,Latvia,0,SSE Riga IV,,4,4,THW change the constitution of Japan allowing them to have offensive forces,,,,,
12-01-06,Europe,Latvia,Latvia,0,SSE Riga IV,,5,5,THW introduce national quotas for accepting immigrants for EU member states,,,,,
12-01-06,Europe,Latvia,Latvia,0,SSE Riga IV,,Open_Y,Open_Semis,THW allow the sale of organs,,,,,
12-01-06,Europe,Latvia,Latvia,0,SSE Riga IV,,Open_Z,Open_Final,THW compel prisoners to be subject to medical experiments,,,,,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,1,1,This house would ban government funding of religious schools,,Religion,Education,Social Policy,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,2,2,This house believes that the UK should abolish it’s nuclear arsenal,,International Relations,"Security, War and Military",,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,3,3,This House supports accelerated land redistribution in South Africa,,Economics,Development,,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,4,4,This house would criminalize the payment of ransom,,Criminal Justice System,Terrorism,,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,5,5,This house supports independence for Quebec,,International Relations,Politics,,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,6,6,This house would abolish all taxes on inherited wealth,,Economics,Social Policy,,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,7,7,This house would support regime change in Myanmar/Burma,,International Relations,Politics,,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,8,8,This house would ban Cosmetic Surgery,,Medical Ethics,,,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,9,9,This house would grant citizenship in exchange for military service,,"Security, War and Military",,,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,EFL_Z,EFL_Final,This house would lift sanctions on Iran,,International Relations,,,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,ESL_Y,ESL_Semis,This house believes all serious crimes should be trialed by Jury,,Criminal Justice System,,,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,ESL_Z,ESL_Final,This house believes that politicians have a right to a private life,,Politics,Media,,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,Masters_1,Masters_1,This house would designate one city to permanently host the Olympics,,Sports,International Relations,,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,Masters_2,Masters_2,This house believes that governments should provide heroin addicts with safe injection facilities,,Social Policy,Medical Ethics,,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,Masters_Z,Masters_Final,This house supports a 35 hour working week,,Social Policy,Economics,,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,Open_W,Open_Octos,This house believes that developing nation should nationalize their energy resources,,Economics,Development,,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,Open_X,Open_Quarters,This house believes that people sentenced to life imprisonment should be allowed to choose the death penalty instead,,Criminal Justice System,Morality,,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,Open_Y,Open_Semis,This house would ban websites that glorify eating disorders,,Social Policy,,,
01-01-07,International,Vancouver,Canada,3,UBC WUDC 2007,,Open_Z,Open_Final,This house believes that economic growth is the solution to climate change,,Economics,Development,Environment,
12-01-07,Europe,Latvia,Latvia,0,SSE Riga IV,,1,1,THW make people pay for private car ownership (not exact wording),,,,,
12-01-07,Europe,Latvia,Latvia,0,SSE Riga IV,,3,3,THW make voting in European Parliament Elections mandatory (not exact wording),,,,,
12-01-07,Europe,Latvia,Latvia,0,SSE Riga IV,,4,4,THW put a tax on the number of foreign players in a sports teams (not exact wording),,,,,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,1,1,This House would allow the use of torture.,,Morality,Terrorism,"Security, War and Military",
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,2,2,This House believes that Taiwan should declare independence now,,International Relations,,,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,3,3,THW not allow local government to pay for the relocation of homeless people.,,Social Policy,Politics,Economics,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,4,4,This House believes that the European Union should only direct aid to nations that pursue environmentally sustainable development.,,International Relations,Environment,Economics,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,5,5,This House believes that every criminal defendant should be required to use a government provided defense lawyer.,,Criminal Justice System,,,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,6,6,THW subject foreign political contributions to greater restrictions than domestic contributions.,,Politics,Economics,,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,7,7,This House would assassinate Vladimir Putin.,,International Relations,"Security, War and Military",,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,8,8,THB that governments should never rescue failing private industry.,,Economics,,,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,9,9,This House would deny scarce medical resources to terminally ill patients.,,Medical Ethics,Social Policy,,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,EFL_Z,EFL_Final,This house would eliminate all non state-run schools,,Education,,,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,ESL_W,ESL_Octos,This House would support the use of mercenaries by the United Nations.,,International Relations,"Security, War and Military",,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,ESL_X,ESL_Quarters,This House would force religious adoption agencies to place children with homosexual couples.,,Religion,LGBT+,,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,ESL_Y,ESL_Semis,This House would require doctors to report all cases of suspected domestic violence.,,Medical Ethics,Family,,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,ESL_Z,ESL_Final,This house believes that the Turkish military should stop enforcing the separation of church (mosque) and state,,Religion,International Relations,"Security, War and Military",
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,Masters_1,Masters_1,This house regrets the passing of Bhutto,,International Relations,Politics,,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,Masters_2,Masters_2,This house would stop the search for the gay gene,,LGBT+,Medical Ethics,,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,Masters_3,Masters_3,This house would let them eat whale,,Environment,,,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,Masters_Z,Masters_Final,This house would put an age limit on debating,,Funny,,,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,Open_W,Open_Octos,THB that governments in the developing world should invest in sex tourism.,,Development,Economics,,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,Open_X,Open_Quarters,This House would force religious adoption agencies to place children with homosexual couples.,,Religion,LGBT+,,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,Open_Y,Open_Semis,THB that extreme economic need should be grounds for asylum.,,Economics,International Relations,,
01-01-08,International,Thailand,Thailand,3,Assumption WUDC 2008,,Open_Z,Open_Final,THB that people who give HIV to others must pay drug support.,,Criminal Justice System,,,
01-01-09,International,Cork,Ireland,3,Cork WUDC 2009,,1,1,This house would ban all forms of gambling.,,Freedoms,Economics,,
01-01-09,International,Cork,Ireland,3,Cork WUDC 2009,,2,2,This house would fire the senior managements of all corporations which receive government bailouts.,,Economics,,,
01-01-09,International,Cork,Ireland,3,Cork WUDC 2009,,3,3,This house would allow soldiers to sue their government for negligence.,,"Security, War and Military",,,
01-01-09,International,Cork,Ireland,3,Cork WUDC 2009,,4,4,This house would force the religious desegregation of Northern Irish schools.,,Religion,,,
01-01-09,International,Cork,Ireland,3,Cork WUDC 2009,,5,5,This house believes that China and India should bear the same obligations as the West in fighting climate change,,Environment,Development,International Relations,
01-01-09,International,Cork,Ireland,3,Cork WUDC 2009,,6,6,This house would criminalise adultery.,,Criminal Justice System,,,
01-01-09,International,Cork,Ireland,3,Cork WUDC 2009,,7,7,This house believes that the west should recognise the independence of Abkhazia.,,International Relations,,,
01-01-09,International,Cork,Ireland,3,Cork WUDC 2009,,8,8,This house would apply a lower rate of income tax to women.,,Economics,Feminism,,
01-01-09,International,Cork,Ireland,3,Cork WUDC 2009,,9,9,This house would ban the publication of political opinion polls.,,Politics,Media,,
01-01-09,International,Cork,Ireland,3,Cork WUDC 2009,,EFL_Z,EFL_Final,This house would prohibit all private health care.,,Social Policy,Medical Ethics,,
01-01-09,International,Cork,Ireland,3,Cork WUDC 2009,,ESL_Z,ESL_Final,This house would implement quotas for domestic players in national football leagues.,,Sports,,,
01-01-09,International,Cork,Ireland,3,Cork WUDC 2009,,Open_W,Open_Octos,This house would arm local militia to fight the taliban in Afghanistan.,,Terrorism,"Security, War and Military",International Relations,
01-01-09,International,Cork,Ireland,3,Cork WUDC 2009,,Open_X,Open_Quarters,This house believes that the international criminal court should prosecute crimes against the democratic process.,,Criminal Justice System,,,
01-01-09,International,Cork,Ireland,3,Cork WUDC 2009,,Open_Y,Open_Semis,This house believes governments should subsidise private home ownership.,,Social Policy,,,
01-01-09,International,Cork,Ireland,3,Cork WUDC 2009,,Open_Z,Open_Final,That this house would allow abortion at all stages of pregnancy,,Medical Ethics,,,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,1,1,This house would ban labour unions.,,Economics,Politics,,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,2,2,This house believes that developing nations should pay for the full tuition of female university students.,,Economics,Development,Feminism,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,3,3,This house would financially incentivize both inter-faith and inter-ethnic marriages.,,Religion,Minority Communities,Economics,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,4,4,THW prohibit high-ranking members of the Sri Lankan military and the Tamil Tigers from participation in the election.,,Politics,"Security, War and Military",,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,5,5,THW abolish taxes on alcohol and cigarettes that go beyond normal sales taxes.,,Economics,Social Policy,,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,6,6,THW prosecute communities for complicity in honour killings.,,Criminal Justice System,,,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,7,7,THW grant those diagnosed with terminal illnesses the right to access treatments that have not completed clinical testing.,,Medical Ethics,,,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,8,8,THW partition Sudan.,,International Relations,,,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,9,9,THW ban all pornography.,,Social Policy,Media,Feminism,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,EFL_Y,EFL_Semis,This House would use faith based rehabilitation in prison.,,Religion,Social Policy,,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,EFL_Z,EFL_Final,This House believes that democratic states should own their own broadcasting corporations.,,Media,Politics,,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,ESL_X,ESL_Quarters,This House would ban any scheme intended to cure homosexuality,,LGBT+,,,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,ESL_Y,ESL_Semis,This house would allow prisoners to raise their babies behind bars.,,Social Policy,Family,,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,ESL_Z,ESL_Final,This house would prohibit expression that portrays convicted war criminals in a positive light.,,"Security, War and Military",Media,,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,Open_W,Open_Octos,This house believes the West should recognise the Dalai Lama,,International Relations,,,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,Open_X,Open_Quarters,This house would ban all procedures to alter one's racial appearance.,,Social Policy,Minority Communities,Social Movements,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,Open_Y,Open_Semis,THB that the United States government should subsidize Twitter to liberalize oppressed societies,,Media,International Relations,,
01-01-10,International,Turkey,Turkey,3,Koc WUDC 2010,,Open_Z,Open_Final,THB that the media should show the full horror of war,,"Security, War and Military",Media,,
12-07-10,Europe,Latvia,Latvia,0,SSE Riga IV,,1,1,THW criminalize women that drink alcohol during pregnancy,,,,,
12-07-10,Europe,Latvia,Latvia,0,SSE Riga IV,,2,2,THBT English should be the only language of education in developing countries,,,,,
12-07-10,Europe,Latvia,Latvia,0,SSE Riga IV,,3,3,THW forcibly settle the Roma,,,,,
12-07-10,Europe,Latvia,Latvia,0,SSE Riga IV,,4,4,THBT the US should stop all support (including military) until Israel unilaterally withdraws from illegal settlements in Palestine,,,,,
12-07-10,Europe,Latvia,Latvia,0,SSE Riga IV,,5,5,THW introduce quotas of poor and rich in all schools,,,,,
12-07-10,Europe,Latvia,Latvia,0,SSE Riga IV,,Open_Y,Open_Semis,THBT the state should approve all loans,,,,,
12-07-10,Europe,Latvia,Latvia,0,SSE Riga IV,,Open_Z,Open_Final,THBT emergent democracies should ban all political rallies and other large public gatherings,,,,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,1,1,This house believes that national sporting teams should reflect the diversity of the national population,,Sports,,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,2,2,This house believes that all states have a right to nuclear weapons,,"Security, War and Military",International Relations,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,3,3,This house believes that governments should not provide benefits on the basis of marital status,,Social Policy,Economics,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,4,4,This house believes that central banks should set limits on government spending,,Economics,,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,5,5,This wouse would prioritise asylum Seekers who have engaged in armed struggle against oppressive regimes,,Social Policy,International Relations,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,6,6,This wouse would allow teachers unions the right to strike,,Economics,,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,7,7,This wouse would require individuals to reveal their actual identity when communicating on the internet,,Freedoms,Media,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,8,8,This house believes that the southern african development community (SADC) should pursue political union,,International Relations,Politics,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,9,9,This house believes that social movements should use the courts rather than the legislature to advance social change,,Social Movements,Criminal Justice System,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,Open_W,Open_Octos,This wouse would buy countries votes in international organizations,,International Relations,Politics,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,Open_X,Open_Quarters,This house believes that courts should not enforce wills that discriminate on the basis of race,,Criminal Justice System,Minority Communities,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,Open_Y,Open_Semis,This house opposes organised religion,,Religion,,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,Open_Z,Open_Final,This wouse would invade Zimbabwe,,International Relations,"Security, War and Military",,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,EFL_Y,EFL_Semis,This house supports a one state solution for the Israeli-Palestinian conflict,,International Relations,,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,EFL_Z,EFL_Final,This wouse would give more votes to the poor,,Politics,,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,ESL_X,ESL_Quarters,This house believes that domestic courts should try foreign nationals who commit war crimes abroad,,"Security, War and Military",Criminal Justice System,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,ESL_Y,ESL_Semis,This wouse would prefer that the children of racial minorities be adopted by parents of that race,,Minority Communities,Family,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,ESL_Z,ESL_Final,This house believes that the courts should break up consistently dominant political parties,,Politics,Criminal Justice System,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,Masters_1,Masters_1,This wouse would buy local,,Environment,Economics,,
01-01-11,International,Botswana,Botswana,3,Botswana WUDC 2011,,Masters_Z,Masters_Final,This house prefers a philosopher King to a tyrannical democracy,,Politics,Funny,,
04-09-11,Europe,Israel,Israel,0,Red Sea Open,,1,1,THW ban the payment of ransoms,,Terrorism,,,
04-09-11,Europe,Israel,Israel,0,Red Sea Open,,2,2,THW force elected politicians and their families to use only public health and education services,,Politics,Social Policy,Education,
04-09-11,Europe,Israel,Israel,0,Red Sea Open,,3,3,THW mandate the use of condoms in porn,,Media,,,
04-09-11,Europe,Israel,Israel,0,Red Sea Open,,4,4,THW prosecute violent fouls in sports as criminal assault,,Sports,Criminal Justice System,,
04-09-11,Europe,Israel,Israel,0,Red Sea Open,,5,5,"Actually, THW rather see one innocent man go to jail than a 100 guilty men walk free",,Criminal Justice System,Morality,,
04-09-11,Europe,Israel,Israel,0,Red Sea Open,,6,6,THBT natural resources should belong to the world and not to any individual country,,Development,Environment,International Relations,
04-09-11,Europe,Israel,Israel,0,Red Sea Open,,Open_Y,Open_Semis,THBT a universal minimum standard of education is a prerequisite for democracy,,Education,Politics,,
04-09-11,Europe,Israel,Israel,0,Red Sea Open,,Open_Z,Open_Final,THBT consent is not a source of moral legitimacy,,Morality,,,
23-09-11,Asia,Beijing,China,0,EU-China Youth Debate Tournament,,1,1,THBT EU membership should not be determined on the basis of geographic criteria,,,,,
23-09-11,Asia,Beijing,China,0,EU-China Youth Debate Tournament,,2,2,THBT media company owners have the right to influence the nature of news,,,,,
23-09-11,Asia,Beijing,China,0,EU-China Youth Debate Tournament,,3,3,THBT China should abolish the “Gaokao” in favour of allowing universities to establish their own (admission) criteria,,,,,
23-09-11,Asia,Beijing,China,0,EU-China Youth Debate Tournament,,4,4,THBT during riots it is legitimate for governments to deny access to social networks,,,,,
23-09-11,Asia,Beijing,China,0,EU-China Youth Debate Tournament,,Open_X,Open_Quarters,THBT a Chinese Marshall Plan should be initiated to save the Euro,,,,,
23-09-11,Asia,Beijing,China,0,EU-China Youth Debate Tournament,,Open_Y,Open_Semis,THW demand international corporations operating in China to uphold the same environmental standards required in their home country,,,,,
23-09-11,Asia,Beijing,China,0,EU-China Youth Debate Tournament,,Open_Z,Open_Final,THBT Mandarin should be taught as the primary second language in all EU schools,,,,,
01-10-11,Europe,AUC Amsterdam,the Netherlands,0,Dutch Pro-Am Tournament,,1,1,THW make parents pass a test before having children,,,,,
01-10-11,Europe,AUC Amsterdam,the Netherlands,0,Dutch Pro-Am Tournament,,2,2,THW halt all development aid to countries that punish homosexuality,,,,,
01-10-11,Europe,AUC Amsterdam,the Netherlands,0,Dutch Pro-Am Tournament,,3,3,THW allow the police full and unrestricted access to Facebook and other social media,,,,,
01-10-11,Europe,AUC Amsterdam,the Netherlands,0,Dutch Pro-Am Tournament,,4,4,THW ban corporate sponsorship of academic research,,,,,
01-10-11,Europe,AUC Amsterdam,the Netherlands,0,Dutch Pro-Am Tournament,,Open_Z,Open_Final,THW allow convicted criminals the choice between their sentence and the same number of years of weekly corporal punishment,,,,,
01-10-11,Europe,Kiev,Ukraine,0,Kiev Open,,1,1,THBT there should be no limit on self-defence against violent crimes,,,,,
01-10-11,Europe,Kiev,Ukraine,0,Kiev Open,,2,2,THW ban parades and demonstrations that could incite a violent response,,,,,
01-10-11,Europe,Kiev,Ukraine,0,Kiev Open,,3,3,THBT the UN should offer large bounties for the capture of pirates and the destruction of pirate ships,,,,,
01-10-11,Europe,Kiev,Ukraine,0,Kiev Open,,4,4,THW ban all religions from actively seeking conversions,,,,,
01-10-11,Europe,Kiev,Ukraine,0,Kiev Open,,5,5,"THBT America and the EU should cease all financial, political and military aid to both Israel and the Palestinian Authority until they reach a peace deal",,,,,
01-10-11,Europe,Kiev,Ukraine,0,Kiev Open,,Open_Y,Open_Semis,THW ban political parties that propagate racism and xenophobia,,,,,
01-10-11,Europe,Kiev,Ukraine,0,Kiev Open,,Open_Z,Open_Final,"THBT even in an oppressive state, citizens should not turn to violence as a means of opposition",,,,,
08-10-11,IoNA,Edinburgh,Scotland,0,Edinburgh Cup,,1,1,THW ban nuclear energy,,,,,
08-10-11,IoNA,Edinburgh,Scotland,0,Edinburgh Cup,,2,2,THW abolish the British Monarchy,,,,,
08-10-11,IoNA,Edinburgh,Scotland,0,Edinburgh Cup,,3,3,THB the UN should immediately recognise and independent state of Palestine,,,,,
08-10-11,IoNA,Edinburgh,Scotland,0,Edinburgh Cup,,4,4,THW cease all austerity measures in favour of a massive increase in government spending,,,,,
08-10-11,IoNA,Edinburgh,Scotland,0,Edinburgh Cup,,Open_Y,Open_Semis,THW start a marxist revolution,,,,,
08-10-11,IoNA,Edinburgh,Scotland,0,Edinburgh Cup,,Open_Z,Open_Final,THB the world is a safer place since the collapse of the USSR,,,,,
15-10-11,Europe,the Netherlands,the Netherlands,0,Masters,,1,1,THW give Parliament the right to determine the moment a monarch steps down,,,,,
15-10-11,Europe,the Netherlands,the Netherlands,0,Masters,,2,2,THW deny Greece the Euro (or: THW kick Greece out of the Eurozone),,,,,
15-10-11,Europe,the Netherlands,the Netherlands,0,Masters,,3,3,THW remove the right to religious freedom from the constitution,,Religion,Freedoms,,
15-10-11,Europe,the Netherlands,the Netherlands,0,Masters,,Open_Z,Open_Final,THW help countries with the death penalty to implement it humanely,,Morality,Development,,
22-10-11,IoNA,London,England,0,SOAS IV,,1,1,THW give harsher punishments to those who commit crimes during riots,,,,,
22-10-11,IoNA,London,England,0,SOAS IV,,2,2,THW have minimum quotas for different ethnic groups living in public housing estates,,,,,
22-10-11,IoNA,London,England,0,SOAS IV,,3,3,THBT serving military generals should be prohibited from talking to the Media,,,,,
22-10-11,IoNA,London,England,0,SOAS IV,,4,4,THBT the Indian Government Should Ban marriage between Members of the Same Caste,,,,,
22-10-11,IoNA,London,England,0,SOAS IV,,5,5,THW create a free market for the sale of babies,,Economics,Morality,,
22-10-11,IoNA,London,England,0,SOAS IV,,ESL_Y,ESL_Semis,THW allow constituents to recall their elected representatives,,,,,
22-10-11,IoNA,London,England,0,SOAS IV,,ESL_Z,ESL_Final,THBT the countries of former Yugoslavia should create a common history curriculum and textbooks,,,,,
22-10-11,IoNA,London,England,0,SOAS IV,,Open_X,Open_Quarters,"THBT Mexico Should Legalise the Sale, Production and Transit of all Drugs",,,,,
22-10-11,IoNA,London,England,0,SOAS IV,,Open_Y,Open_Semis,THW end all subsidies for small farms,,,,,
22-10-11,IoNA,London,England,0,SOAS IV,,Open_Z,Open_Final,TH regrets the extra judicial killing of Colonel Gaddafi,,,,,
28-10-11,IoNA,Ireland,Ireland,0,UCD VP,,1,1,THW outsource the capture of elusive criminals to bounty-hunters.,,,,,
28-10-11,IoNA,Ireland,Ireland,0,UCD VP,,2,2,"THBT Ireland should create constituencies, elected by people who emigrate from Ireland",,,,,
28-10-11,IoNA,Ireland,Ireland,0,UCD VP,,3,3,THW grant aboriginal peoples copyrights over depictions of their culture.,,,,,
28-10-11,IoNA,Ireland,Ireland,0,UCD VP,,4,4,THW allow the families of dead people to sue for libel on their behalf,,,,,
28-10-11,IoNA,Ireland,Ireland,0,UCD VP,,5,5,THBT it is legitimate for politicians to lie to the electorate about their real views.,,,,,
28-10-11,IoNA,Ireland,Ireland,0,UCD VP,,Open_Y,Open_Semis,THW grant minors the right to euthanasia regardless of parental consent.,,,,,
